date_treatment,id_mere,diet,density,boite_petri,Id_adulte,date_adulte,sex,forceps_L,pronotum
23-01-2025,ZBAPT,POOR,8,4,DYQMN,07-04-2025,male,3.799,1.476
23-01-2025,ZBAPT,POOR,8,4,YCAFP,07-04-2025,femelle,2.939,1.568
27-01-2025,WVWFO,GOOD,1,5,TYRWS,31-03-2025,femelle,3.464,1.905
23-01-2025,ZBAPT,GOOD,8,7,TXXSM,21-03-2025,femelle,3.243,1.522
27-01-2025,WVWFO,POOR,1,9,GQKET,21-04-2025,male,3.781,1.632
27-01-2025,WVWFO,POOR,4,11,VKQHJ,07-04-2025,male,4.026,1.731
27-01-2025,WVWFO,POOR,4,11,RSMDL,11-04-2025,femelle,3.22,1.743
27-01-2025,WVWFO,POOR,4,11,CSWZC,11-04-2025,femelle,3.405,1.645
27-01-2025,WVWFO,POOR,8,12,KWUOG,01-04-2025,male,3.8,1.542
27-01-2025,WVWFO,POOR,8,12,SLIPM,02-04-2025,male,4.284,1.874
27-01-2025,WVWFO,POOR,8,12,SPJGZ,07-04-2025,femelle,3.4,1.905
27-01-2025,WVWFO,POOR,8,12,CJNXV,14-04-2025,femelle,3.213,1.627
27-01-2025,WVWFO,POOR,8,12,YWGZB,21-04-2025,male,3.729,1.606
27-01-2025,WVWFO,POOR,8,12,GSLHN,24-04-2025,male,3.863,1.654
27-01-2025,WVWFO,POOR,8,13,FFTQP,07-04-2025,male,4.039,1.712
27-01-2025,WVWFO,POOR,8,13,RUNZS,07-04-2025,femelle,3.074,1.73
27-01-2025,WVWFO,POOR,8,13,FLHSG,10-04-2025,male,4.554,1.5
27-01-2025,WVWFO,GOOD,4,17,VWFJY,31-03-2025,male,4.823,1.953
27-01-2025,WVWFO,GOOD,8,18,QGRJN,24-03-2025,male,4.164,1.851
27-01-2025,WVWFO,GOOD,8,18,TMLWV,24-03-2025,male,5.969,1.914
27-01-2025,WVWFO,GOOD,8,18,VSEMY,24-03-2025,male,4.256,1.802
27-01-2025,WVWFO,GOOD,8,18,ZFWYC,24-03-2025,male,6.724,1.819
27-01-2025,WVWFO,GOOD,8,18,FEZLX,24-03-2025,femelle,3.903,1.879
27-01-2025,WVWFO,GOOD,8,19,DYBCO,24-03-2025,male,3.957,1.704
27-01-2025,WVWFO,GOOD,8,19,HQGIA,24-03-2025,femelle,3.71,1.821
27-01-2025,WVWFO,GOOD,8,19,QNDBP,24-03-2025,femelle,3.666,1.94
27-01-2025,WVWFO,GOOD,8,19,MSOOV,24-03-2025,femelle,3.655,1.805
27-01-2025,WVWFO,GOOD,8,19,AVIGM,26-03-2025,femelle,3.634,1.609
27-01-2025,WVWFO,GOOD,8,19,BCBSW,27-03-2025,male,5.173,1.778
27-01-2025,WVWFO,GOOD,8,19,GTKZK,28-03-2025,femelle,3.644,1.683
27-01-2025,WVWFO,GOOD,8,19,IISHW,04-04-2025,male,4.201,1.617
27-01-2025,ALQG8,POOR,1,20,,,,,
27-01-2025,ALQG8,POOR,8,23,UEDYO,07-04-2025,male,4.047,1.801
27-01-2025,ALQG8,POOR,8,23,VNWYP,10-04-2025,male,4.226,1.683
27-01-2025,ALQG8,POOR,8,23,BXPNZ,25-04-2025,male,3.632,1.346
27-01-2025,ALQG8,GOOD,1,24,SAKBZ,31-03-2025,male,4.196,1.705
27-01-2025,ALQG8,GOOD,1,25,YVJSG,25-03-2025,male,5.583,1.908
27-01-2025,ALQG8,GOOD,8,26,YVBIJ,24-03-2025,male,5.159,1.757
27-01-2025,ALQG8,GOOD,8,26,ZKAWW,24-03-2025,femelle,3.582,1.861
27-01-2025,GYY5M,POOR,1,27,,,,,
27-01-2025,GYY5M,POOR,1,28,,,,,
27-01-2025,GYY5M,POOR,4,30,BVLUR,01-04-2025,male,4.609,1.536
27-01-2025,GYY5M,POOR,4,30,RJXTF,01-04-2025,male,4.154,1.444
27-01-2025,GYY5M,POOR,4,30,QFLJV,01-04-2025,femelle,3.675,1.71
27-01-2025,GYY5M,POOR,4,30,,,,,
27-01-2025,GYY5M,POOR,8,32,PTYBZ,28-03-2025,femelle,3.553,1.601
27-01-2025,GYY5M,POOR,8,32,HKIQI,28-03-2025,femelle,3.739,1.602
27-01-2025,GYY5M,POOR,8,32,ZLBIS,01-04-2025,male,4.297,1.569
27-01-2025,GYY5M,POOR,8,32,DENVW,07-04-2025,femelle,3.407,1.552
27-01-2025,GYY5M,POOR,8,33,SGLNP,31-03-2025,male,4.645,1.736
27-01-2025,GYY5M,POOR,8,33,FSEXM,31-03-2025,male,4.376,1.516
27-01-2025,GYY5M,POOR,8,33,WAXTK,31-03-2025,femelle,3.369,1.686
27-01-2025,GYY5M,POOR,8,33,BLGWG,04-04-2025,femelle,3.629,1.635
27-01-2025,GYY5M,GOOD,1,35,REUOR,24-03-2025,male,4.17,1.741
27-01-2025,GYY5M,GOOD,1,36,,,,,
27-01-2025,GYY5M,GOOD,4,37,LEGNG,19-03-2025,femelle,3.613,1.574
27-01-2025,GYY5M,GOOD,4,37,NJTPX,20-03-2025,femelle,3.375,1.758
27-01-2025,GYY5M,GOOD,4,38,JRECN,31-03-2025,femelle,3.614,1.955
27-01-2025,GYY5M,GOOD,4,38,RKAHE,01-04-2025,male,4.453,1.837
27-01-2025,GYY5M,GOOD,4,39,,,,,
27-01-2025,GYY5M,GOOD,8,41,HBTJR,20-03-2025,male,5.153,1.725
27-01-2025,GYY5M,GOOD,8,41,HEUMJ,20-03-2025,femelle,3.515,1.674
27-01-2025,GYY5M,GOOD,8,41,DLNQX,20-03-2025,femelle,3.569,1.743
27-01-2025,GYY5M,GOOD,8,41,CMCIG,21-03-2025,male,6.709,1.73
27-01-2025,GYY5M,GOOD,8,41,COWPO,21-03-2025,femelle,3.686,1.737
27-01-2025,GYY5M,GOOD,8,41,RLCEK,24-03-2025,male,4.366,1.894
27-01-2025,GYY5M,GOOD,8,41,FZTVS,24-03-2025,male,4.253,1.804
27-01-2025,GYY5M,GOOD,8,41,BEWHL,24-03-2025,male,4.541,1.853
27-01-2025,GYY5M,GOOD,8,42,ZFLVQ,24-03-2025,femelle,3.587,1.705
27-01-2025,J56MW,POOR,1,43,,,,,
27-01-2025,J56MW,POOR,4,45,TEGJK,08-04-2025,male,4.277,1.669
27-01-2025,J56MW,POOR,4,45,MJDBH,11-04-2025,femelle,3.253,1.52
27-01-2025,J56MW,POOR,4,46,LDCEO,10-04-2025,femelle,3.377,1.626
27-01-2025,J56MW,POOR,4,47,,,,,
27-01-2025,J56MW,POOR,8,48,GGLKA,10-04-2025,femelle,3.545,1.495
27-01-2025,J56MW,GOOD,1,49,BUKAJ,24-03-2025,male,3.731,1.482
27-01-2025,J56MW,GOOD,4,52,NHSRC,20-03-2025,femelle,3.742,1.633
