id_mere,diet,density,Id_adulte,sex,forceps_L,pronotum
ZBAPT,POOR,8,DYQMN,male,3.799,1.476
ZBAPT,POOR,8,YCAFP,femelle,2.939,1.568
WVWFO,GOOD,1,TYRWS,femelle,3.464,1.905
ZBAPT,GOOD,8,TXXSM,femelle,3.243,1.522
WVWFO,POOR,1,GQKET,male,3.781,1.632
WVWFO,POOR,4,VKQHJ,male,4.026,1.731
WVWFO,POOR,4,RSMDL,femelle,3.22,1.743
WVWFO,POOR,4,CSWZC,femelle,3.405,1.645
WVWFO,POOR,8,KWUOG,male,3.8,1.542
WVWFO,POOR,8,SLIPM,male,4.284,1.874
WVWFO,POOR,8,SPJGZ,femelle,3.4,1.905
WVWFO,POOR,8,CJNXV,femelle,3.213,1.627
WVWFO,POOR,8,YWGZB,male,3.729,1.606
WVWFO,POOR,8,GSLHN,male,3.863,1.654
WVWFO,POOR,8,FFTQP,male,4.039,1.712
WVWFO,POOR,8,RUNZS,femelle,3.074,1.73
WVWFO,POOR,8,FLHSG,male,4.554,1.5
WVWFO,GOOD,4,VWFJY,male,4.823,1.953
WVWFO,GOOD,8,QGRJN,male,4.164,1.851
WVWFO,GOOD,8,TMLWV,male,5.969,1.914
WVWFO,GOOD,8,VSEMY,male,4.256,1.802
WVWFO,GOOD,8,ZFWYC,male,6.724,1.819
WVWFO,GOOD,8,FEZLX,femelle,3.903,1.879
WVWFO,GOOD,8,DYBCO,male,3.957,1.704
WVWFO,GOOD,8,HQGIA,femelle,3.71,1.821
WVWFO,GOOD,8,QNDBP,femelle,3.666,1.94
WVWFO,GOOD,8,MSOOV,femelle,3.655,1.805
WVWFO,GOOD,8,AVIGM,femelle,3.634,1.609
WVWFO,GOOD,8,BCBSW,male,5.173,1.778
WVWFO,GOOD,8,GTKZK,femelle,3.644,1.683
WVWFO,GOOD,8,IISHW,male,4.201,1.617
ALQG8,POOR,1,,,,
ALQG8,POOR,8,UEDYO,male,4.047,1.801
ALQG8,POOR,8,VNWYP,male,4.226,1.683
ALQG8,POOR,8,BXPNZ,male,3.632,1.346
ALQG8,GOOD,1,SAKBZ,male,4.196,1.705
ALQG8,GOOD,1,YVJSG,male,5.583,1.908
ALQG8,GOOD,8,YVBIJ,male,5.159,1.757
ALQG8,GOOD,8,ZKAWW,femelle,3.582,1.861
GYY5M,POOR,1,,,,
GYY5M,POOR,1,,,,
GYY5M,POOR,4,BVLUR,male,4.609,1.536
GYY5M,POOR,4,RJXTF,male,4.154,1.444
GYY5M,POOR,4,QFLJV,femelle,3.675,1.71
GYY5M,POOR,4,,,,
GYY5M,POOR,8,PTYBZ,femelle,3.553,1.601
GYY5M,POOR,8,HKIQI,femelle,3.739,1.602
GYY5M,POOR,8,ZLBIS,male,4.297,1.569
GYY5M,POOR,8,DENVW,femelle,3.407,1.552
